05/05/2025 00:56:09.576 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
05/05/2025 00:56:09.576 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
05/05/2025 00:56:09.576 | DEBUG    |                             AshitaCore::Initialize | <Begin>
05/05/2025 00:56:09.576 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
05/05/2025 00:56:09.576 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
05/05/2025 00:56:09.576 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : C:\Ashita\Ashita-v4beta\
05/05/2025 00:56:09.576 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\example-retail.ini
05/05/2025 00:56:09.576 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Ashita\Ashita-v4beta\\config\boot\example-retail.ini
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   file : 
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   script : default.txt
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   args : 
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | [ashita.fonts]
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   d3d8.disable_scaling : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   d3d8.family : Arial
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   d3d8.height : 10
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | [ashita.input]
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   gamepad.allowbackground : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   gamepad.disableenumeration : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockinput : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockbindsduringinput : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   keyboard.silentbinds : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   keyboard.windowskeyenabled : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   mouse.blockinput : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   mouse.unhook : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | [ashita.language]
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   playonline : 2
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   ashita : 2
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | [ashita.logging]
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   level : 5
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   crashdumps : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | [ashita.misc]
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   addons.silent : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   aliases.silent : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   plugins.silent : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | [ashita.resources]
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   offsets.use_overrides : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   pointers.use_overrides : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   resources.use_overrides : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | [ashita.taskpool]
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   threadcount : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | [ashita.window.startpos]
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   x : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   y : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | [ashita.polplugins]
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   sandbox : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   pivot : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | [ffxi.direct3d8]
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbufferformat : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbuffercount : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   presentparams.multisampletype : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   presentparams.swapeffect : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   presentparams.enableautodepthstencil : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   presentparams.autodepthstencilformat : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   presentparams.flags : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_refreshrateinhz : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_presentationinterval : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   behaviorflags.fpu_preserve : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize | [ffxi.registry]
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0000 : 6
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0001 : 1920
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0002 : 1080
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0003 : 4096
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0004 : 4096
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0005 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0006 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0007 : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0008 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0009 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0010 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0011 : 2
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0012 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0013 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0014 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0015 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0016 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0017 : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0018 : 2
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0019 : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0020 : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0021 : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0022 : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0023 : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0024 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0025 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0026 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0027 : -1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0028 : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0029 : 20
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0030 : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0031 : 1002740646
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0032 : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0033 : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0034 : 2
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0035 : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0036 : 2
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0037 : 1920
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0038 : 1080
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0039 : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0040 : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0041 : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0042 : C:\Program Files (x86)\SquareEnix\FINAL FANTASY XI
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0043 : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0044 : 1
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   0045 : 0
05/05/2025 00:56:09.578 | DEBUG    |                             AshitaCore::Initialize |   padmode000 : -1
